Date,Tasks,Category,Time,Task Code,Portfolio,Impact,Role Expectations,Notes, Sr. Director Comments
"January 2, 2026",1:1 - Matt Mitchell (1:1 & Assortment Reporting),Facilitator,30 min,General Admin,Assortment,Medium,Build bridges not silos,Topics: Assortment Analytics status & needs. Check-in with Matt,
"January 2, 2026","Admin - Email, Timesheets, Messages, Task Codes",Doer,1.5 hr,General Admin,MX/SC,Medium,ALL,Catching up from being out for 2 weeks. Requested a task code for Matt Mitchell - Seamless,
"January 2, 2026",Tech Sentiment Survey,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,High,Focus on the why and the what,"Working with Jen Snyder on how we might be able to distribute the survey this month. Previously we have ad some hiccups with contractors, and distro lists.",
"January 2, 2026",Admin - Prep for Talent Calibration,Doer,2 hr,General Admin,Item,High,Capacity multiplication,"Setting up YE Reviews, Notes Docs, Sourcing fedback from previous managers.",
"January 2, 2026",Connect - Colin,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Focus on the why and the what,"Topics: FoodHealthCo / Optup Discovery, Discovery Planning, Family Tree & Q2; Colin's capacity.",
"January 2, 2026",Admin - Distro List Updates,Doer,15 min,General Admin,S/I/A,Low,Other,Working with Emily Lilien to understand new process to update distribution lists that need updated.,
,,,,,,,,,
"January 5, 2026",Year End Reviews,Doer,1.5 hr,General Admin,S/I/A,Low,Other,Working to do intial write ups for team members,
"January 5, 2026",3-wins,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,Medium,Focus on the why and the what,Sourcing wins from the team from 2025,
"January 5, 2026",Discovery Process - Review,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Strategy documentation and communication,Collaboration with Ryan and Emilia on a discovery framework document (template) in Confluence,
"January 5, 2026",SNAP - Discussion,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Focus on the why and the what,Known issues with SNAP we need to find fixes for Eligibility in some states not shown on the provided lists or from the business.,
"January 5, 2026",Tech Sentiment Survey,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,High,Focus on the why and the what,Working with Jen and other managers to plan and deploy the Tech sentiment survey. I have also connected with Mike Murphy to seek is advocacy with this deployment.,
"January 5, 2026",Assortment Analytics - Task Codes and % Time,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Finance and Accounting,Ensuring that the PDs working on these efforts have the right task codes and their working time (%) is known by Finance.,
"January 5, 2026",6 Types of Working Assessment - For Manager Meeting,Doer,30 min,General Admin,MX/SC,High,Personal or Professional Growth,Taking the Assessment,
"January 6, 2026",Portfolio Playbook - Confluence Review,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Strategy documentation and communication,Collaborating with Ryan on a Confluence space for Item and Item Data. We want to clean up confluence and provide more organization for our teams.,
"January 6, 2026",Manager Meeting,Doer,4 hr,General Admin,MX/SC,High,Focus on the why and the what,Manager Meeting ... Multi-focus,
"January 6, 2026",5 Wins - shared with Michael,Doer,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Focus on the why and the what,Final drafting and confirmation with PMs on the wins and writeups. Message sent to Michael on the wins (top 5).,
"January 7, 2026",Manager Meeting,Doer,7 hr,General Admin,MX/SC,High,Focus on the why and the what,Manager Meeting ... Multi-focus,
"January 7, 2026",Update Promo Reco for MP,Collaborator,30 min,General Admin,KTD,High,Capacity multiplication,"Adjust copywriting, add KLMs, EUID",
"January 7, 2026",Item Data conversation with Marty,Collaborator,15 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Build bridges not silos,Marty will be closer to the work I am doing based on his new shift. It will be good to work with him more.,
"January 8, 2026",Team Charter,Collaborator,45 min,Capital Expenses — The Work/Flows/Prototype,MX/SC,High,Focus on the why and the what,Stop/Start exercise and discussion with team members,
"January 8, 2026",1:1 & YE Rev. Miranda - request feedback,Facilitator,15 min,General Admin,Item,High,Capacity multiplication,"Design Epics, Catch up, SNAP, Q1 work incoming & request feedback for miranda - updated list",
"January 8, 2026",Roadmap Review – Deep Dives & Alignment,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,"Item Exp/Data - Food Health, and ongoing work",
"January 8, 2026",Assortment OKR & Roadmap,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Focus on the why and the what,Biweekly review and discussion,
"January 8, 2026",1:1 Emily R,Collaborator,30 min,General Admin,MXCX,High,Build bridges not silos,"topics on team, expenses, catch up on S/I/A",
"January 8, 2026",Item & Assortment (SACP) Connect,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,Medium,Build bridges not silos,Early stage discussions on how ITEM and SACP connect,
"January 8, 2026",Assortment Leads Meeting,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Build bridges not silos,"Discussion on Resources, Initiatives, and Budget/Forecast",
"January 8, 2026",Design Artifacts Connect,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MXCX,High,Strategy documentation and communication,"Discussion and alignment on - Personas, Stakeholder Maps",
"January 8, 2026",[Design] epics in PB - Audit & Confirm,Doer,1 hr,¯\_(ツ)_/¯,S/I/A,High,Finance and Accounting,Pulled list from PB and matching with mural. Connecting with team members to confirm epics,
"January 9, 2026",Supplier Discussion w/Vicki,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Supplier,Medium,Finance and Accounting,"Seeking to understand the complexities of the Supplier Team, How it is funded, and how it is split (people).",
"January 9, 2026",Kara H - 1:1,Collaborator,30 min,General Admin,KTD,Medium,Build bridges not silos,Connecting with Kara on CX and the areas I manage. Understanding more how her teams are shared resources to the work.,
"January 9, 2026",Lia - 1:1,Collaborator,30 min,General Admin,Supplier,Medium,Capacity multiplication,WFA; Personal Development; YE Review Thoughts,
"January 9, 2026",Nina - 1:1,Collaborator,30 min,General Admin,Assortment,Medium,Capacity multiplication,Supplier Hub Discovery; PowerBI; Personal Development; YE Review Thoughts,
"January 9, 2026",Andrew K - Koncert Feedback,Doer,15 min,General Admin,Item,Medium,Capacity multiplication,Survey feedback for Andrew that we supply to Koncert.,
"January 9, 2026","Merch Dependability w/ Jon and Stichweh
Merch Dependability — Work Session with Merch Leads",Collaborator,1.5 hr,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Focus on the why and the what,"Current issue in the topic of ""Merch Dependability""; The funding and what it is that MSCX Assortment is doing in support of that work.
Meeting with Merch Org Leaders to align on understanding of Merch Dependability and the work that aligns to it.",
"January 12, 2026",3rd Party Applications Planning,Collaborator,45 min,General Admin,MX/SC,High,Focus on the why and the what,Continued work on the presentation outline and discussion guide with Sarah,
"January 12, 2026","YE Review Requests (Rick, Jen, Emily)",Doer,1.5 hr,General Admin,MX/SC,High,Capacity multiplication,Complete requests from managers,
"January 12, 2026",Visual for Item x SACP,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Direction not delivery,Creating a visual to help communicate the front-stage item setup to assortment. The goal is to have engineering or architects to add the data flows.,
"January 12, 2026",Design Epic Audit and Review,Doer,15 min,General Admin,S/I/A,High,Strategy documentation and communication,Reviewing [Design] Epics to help communicate where our teams are with Design Epics.,
"January 12, 2026",1:1 Suresh,Collaborator,15 min,General Admin,S/I/A,Medium,Build bridges not silos,Monthly check-in with Suresh - maintaining connection,
"January 12, 2026",Assortment Leads Connect,Collaborator,30 min,General Admin,Assortment,Medium,Build bridges not silos,Jon & Rick - Assortment team and budget planning,
"January 12, 2026",Item Stakeholder Mtg,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Direction not delivery,"Meeting with our Item stakeholders - product delivery status, roadmap review, support and asks.",
"January 12, 2026",Sam - Connect - Item Data,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Strategy documentation and communication,"1:1 with Sam - discussing item - assortment visual, her job role/description, and general check-in and support.",
"January 12, 2026",Rob Sloan - 1:1,Collaborator,30 min,General Admin,Item,High,Capacity multiplication,Rob notes monitor need; discuss his workload,
"January 13, 2026",Talent Calibration ratings and Feedback,Doer,2 hr,General Admin,S/I/A,High,Capacity multiplication,Submitted initial ratings. Submitted and or drafted YE feedback.,
"January 13, 2026",Lindsey 1:1,,45 min,General Admin,Assortment,High,Focus on the why and the what,Discuss SACP; support needs; professional growth,
"January 13, 2026",Supplier Hub Replacement - Discuss,,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Supplier,High,Focus on the why and the what,current state of discovery; RFI; Team status and support needs,
"January 13, 2026",Assortment - Stakeholder Connect,,1 hr,Capital Expenses — The Work/Flows/Prototype,Assortment,High,Build bridges not silos,Met with Chadd St Clair - new Director of Merch Ex.; Provided overview of Assortment and our key initiatives; State of Funding and asks,
"January 13, 2026",YE Assessments,Doer,1.5 hr,General Admin,S/I/A,High,Capacity multiplication,Drafting YE Reviews and reviewing survey submissions,
"January 13, 2026",Effort Estimation - Kickoff,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,Kickoff with DesignOps,
"January 13, 2026",SACP - Dig into a question from PM,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Direction not delivery,Digging into a request on Vendor Credentialing - Unfamiliar,
"January 13, 2026",Michelle P - 1:1,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,Discuss Assortment work and future work; discuss ye review (request to submit associate assessment) & growth areas she is seeking,
"January 14, 2026",IME x SACP Visual,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Focus on the why and the what,Review draft visual; provide feedback and next steps,
"January 14, 2026",Discovery Template - Item,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,High,Strategy documentation and communication,"review confluence template for ""finalization"", Review teams that are currently using the template.",
"January 15, 2026",Item - SACP Visual,Collaborator,15 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,High,Strategy documentation and communication,Final review and suggestion for documentation,
"January 15, 2026",Item Roadmap Review,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,Roadmap review of Profiles (Sam / Michelle),
"January 15, 2026",YE Review,Doer,1 hr,General Admin,KTD,High,Personal or Professional Growth,Drafting my YE Assessment,
"January 15, 2026",1:1s & Connects (Jerad; Colin),Facilitator,1 hr,General Admin,S/I/A,High,Personal or Professional Growth,,
"January 15, 2026",1:1 Misty,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Focus on the why and the what,"Seeking understanding of CFIC, Family Tree & IME. Seems soem concern on the roadmap.",
"January 15, 2026",Effort Estimation Overview for PDs,Facilitator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Strategy documentation and communication,Kickoff with S/I/A PDs for Effort Estimation ask from Design Ops,
"January 16, 2026",1:1 Brian Cox,Collaborator,30 min,General Admin,MX/SC,Medium,Build bridges not silos,Re-connect with Brian on Offers work completed in '25 as part of what I helped guide when managing and collaborating with that team.,
"January 16, 2026",Item OKR Planning session #2,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Review OKRs by Teams in Item Data and Item Experience,
"January 16, 2026",YE Review / Assessment Focus,Collaborator,2 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Capacity multiplication,Reached out to Lia's former manager. Finalized my YE Assessment.,
"January 19, 2026",KCC - Interview on Manual Processes,Collaborator,33 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,Emily is seeking information on Item & Assortment; understanding our roadmaps and how we are managing or reducing manual processes,
"January 19, 2026",Timesheets,Doer,30 min,General Admin,S/I/A,Medium,Focus on the why and the what,"Time, Time, Time, what has become of me?",
"January 19, 2026",1:1 Miranda,Doer,30 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Capacity multiplication,"Good Connect on SNAP, Miranda's needs for her role and development.",
"January 19, 2026",Assortment Leads Connect,Doer,45 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Finance and Accounting,Discuss changes in our space. Understand finance - what is known for funding.,
"January 19, 2026",YE Review Assessments,Doer,1.5 hr,General Admin,MX/SC,High,Capacity multiplication,Continue reviewing feedback and drafting responses,
"January 19, 2026",Intern response,Doer,15 min,General Admin,S/I/A,Medium,Capacity multiplication,email to Carlee Crooks for a Summer Intern,
"January 19, 2026",Effort Estimation S/I/A,Doer,45 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,Direction not delivery,Review current submissions. Helped a team member understand the expectatioins,
"January 19, 2026",Taxonomy Merch Data Discussion,Doer,45 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Focus on the why and the what,Review a mural with Colin. I asked questions to help further support my understanding of CFIC and Family Tree.,
"January 19, 2026",Chelsea 1:1,Doer,30 min,General Admin,MX/SC,Medium,Capacity multiplication,Catch up with Chelsea. Learned of her new moves and mentor,
"January 19, 2026",3rd Party Prep & DIscussions,Doer,1.5 hr,General Admin,KTD,Medium,Focus on the why and the what,"Collab with Sarah, Interview Matt Mitchell",
"January 20, 2026",Email :(,Doer,30 min,General Admin,KTD,¯\_(ツ)_/¯,All of the Above,did not take a break to check email - 40+ emails in email box,
"January 20, 2026",Follow-up on Emails and Oneview,Doer,30 min,General Admin,S/I/A,Medium,Finance and Accounting,"APT requests, Email responses for request",
"January 20, 2026",Sprint Review,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Item Watchtower Sprint Review,
"January 20, 2026","""MX"" PD Leads connect",Collaborator,30 min,General Admin,MX/SC,Medium,Focus on the why and the what,"Discuss our Portfolios, Updates, Efforts for Q1",
"January 20, 2026",KTD All Hands,Doer,1 hr,General Admin,Item,Medium,Focus on the why and the what,Learned about incoming focus for associate learning; How leadership is focused on associate feedback,
"January 21, 2026",Assortment Q4 OKR Review,Doer,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Provided PD updates / asks for PD. Review Q4 final deliverables,
"January 21, 2026",Lia 1:1,Facilitator,30 min,General Admin,Item,High,Focus on the why and the what,"Need to update vicki on the complexities the Reorg had on Supplier (stakeholder and org alignment, funding, okr planning)",
"January 21, 2026",AI Drivers License,Doer,45 min,Training — Corp / Personal Dev,KTD,Medium,Personal or Professional Growth,1.3 Video viewing and PRe and Post assessments,
"January 21, 2026",Effort Estimation,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,Medium,Focus on the why and the what,Discuss effort estimation with team members. Offering Office Hours to help with the new asks,
"January 21, 2026",YE Feedback - Miranda,Doer,30 min,General Admin,Item,Medium,Capacity multiplication,Complete & Submitted in myInfo,
"January 21, 2026",Item x SACP Biweekly Connect,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,S/I/A,Medium,Build bridges not silos,Discuss mapping from item setup to sacp,
"January 21, 2026",3rd Party PD Interview :: Nina,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Assortment,Medium,Focus on the why and the what,Understand Nina's perspective working in Appian comparative to the KTD grown product experiences,
"January 21, 2026",Q1 Planning - Item - Prioritizatioin,Collaborator,3 hr,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,Align on the priorities in prep for next week.,
"January 21, 2026","Admin time (Diary, Journal, Email, Teams Messages)",Doer,30 min,General Admin,MX/SC,¯\_(ツ)_/¯,All of the Above,"Reivew and Document the day, Respond to messages and emails.",
"January 22, 2026",3rd Party PD Interview :: Mandy Sellers,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,Added additional interview notes to the Loop doc,
"January 22, 2026",Roadmap for Item,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Strategy documentation and communication,"A quick connect w/Vicki, Emilia, and Misty on a roadmap visual for Item experience and Item data",
"January 22, 2026",YE Reviews,Doer,15 min,General Admin,S/I/A,High,Capacity multiplication,Drafting more yE reviews based on updated submitted feedabck.,
"January 22, 2026",Vicki Roadmap Ask for KCC,Collaborator,6 hr,¯\_(ツ)_/¯,S/I/A,High,Strategy documentation and communication,Need to document and provide information to Vicki to support a conversation on the item setup roadmap that includes aspects of S/I/A,
"January 22, 2026",S/I/A - Effort Estimation - Office Hours,Facilitator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,All of the Above,"Assisting the Team on their effort estimation efforts, working in the 2x2, activities, and prioritization.",
"January 23, 2026",PTO,,,,,,,,
"January 26, 2026","Admin time (Diary, OneView Journal, Email, Teams Messages)",Doer,30 min,General Admin,MX/SC,Medium,All of the Above,"Catch up from PTO; Extend EUIDs, Message Team on Effort Estimation",
"January 26, 2026",Design Work in Jira - Overview,Doer,30 min,General Admin,KTD,¯\_(ツ)_/¯,Personal or Professional Growth,Required Jira Training to support PD Investment to Value Delivered,
"January 26, 2026",Design Work in Jira - How To,Doer,30 min,General Admin,KTD,¯\_(ツ)_/¯,Personal or Professional Growth,How to work and implement Jira Spikes and Stories for PD,
"January 26, 2026",Misty / Tom - Connect Item OKRs,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,S/I/A,High,Focus on the why and the what,"Review PPT file from last week - Vicki Ask.
Review and align on OKRs for Item. Review Effort Estimation board from IME and Supplier team to support the presentation.",
"January 26, 2026",Assortment Leads Connect,Collaborator,30 min,General Admin,Assortment,Medium,Build bridges not silos,Close out Q4; Connect Q1; KT for JP,
"January 26, 2026",Sam/ Tom 1:1,Collaborator,30 min,General Admin,Item,Medium,Build bridges not silos,"Discuss Item updates, Catch up on work events and focus. I shared some manager updates regarding [design] epics, Q1 OKR planning, and Assortment PM changes.",
"January 26, 2026",Jerad / Tom - 1:1,Collaborator,30 min,General Admin,Item,High,Capacity multiplication,"updates on work, check on Jerad's okrs and development goals",
"January 26, 2026",YE Reviews,Doer,1.5 hr,General Admin,KTD,High,Capacity multiplication,Focus on Lia and Nina Drafts,
"January 26, 2026",OneView Tasks and Assigments,Collaborator,30 min,General Admin,MX/SC,¯\_(ツ)_/¯,Finance and Accounting,Reviewed an email on oneview tasks. I needed to connect with Misty as there are many buckets and areas of this ask that are confusing.,
"January 27, 2026",OneView Tasks and Assigments,Collaborator,2.5 hr,General Admin,S/I/A,High,Finance and Accounting,"Collab on a PPT deck with Misty, Connect with Finance on Sourcing Funding (not within the presentation provided), work with Sarah for oneview for Tracy.",
"January 27, 2026",Steven S - Connect - IME,Facilitator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Strategy documentation and communication,Topics: Effort Estimation; IME/IWT conflicts; Training on Jira,
"January 27, 2026",Lindsey 1:1 - SACP,Facilitator,30 min,,Assortment,High,Strategy documentation and communication,Review Effort Estimation; Discuss team changes (jon); Discuss o9 training opportunity.,
"January 27, 2026",MSCX OKR Planning,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Strategy documentation and communication,Review OKRs across KTD; Helped collaborate on the OKR writing,
"January 27, 2026",Mentor Connect - Liane Carpenter,Collaborator,30 min,General Admin,KTD,High,Build bridges not silos,Connected on research across ITEM & Assortment connected to her research in CX,
"January 27, 2026",Design Ops - Product Design Content POV,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,High,Strategy documentation and communication,Review considerations with Tim Freeman on documentation and artifacts with DesignOps,
"January 27, 2026","Admin time (Diary, OneView Journal, Email, Teams Messages)",Doer,30 min,General Admin,Other,¯\_(ツ)_/¯,Personal or Professional Growth,"emails, teams messages, journal / diary",
"January 27, 2026",1:1 Michelle,Facilitator,30 min,General Admin,Assortment,High,Capacity multiplication,"Topics: Effort Estimation; OKRs, Personal Development; Leader Cascades",
"January 27, 2026",Jira Training,Enabler,15 min,General Admin,S/I/A,Medium,Personal or Professional Growth,"Contractors are unable to access myInfo. I reached out to Amy for links for training on Jira, shared link and helped review a few pages of the content to ensure it aligned with the training I recieved.",
"January 28, 2026",OneView Tasks and Assigments,Collaborator,1 hr,General Admin,S/I/A,High,Finance and Accounting,Collab on a PPT deck with Misty. Start to confirm my team members,
"January 28, 2026",OKR Planning at BTC,Collaborator,6 hr,ProjEx — OKR / Discovery & Agile Ceremonies,KTD,¯\_(ツ)_/¯,Strategy documentation and communication,OKR pre-kickoff,
"January 28, 2026",OneView Tasks and Assigments,Collaborator,1 hr,General Admin,S/I/A,High,Finance and Accounting,Start filling out the sheet for OneView Tasks (so confused),
"January 28, 2026",IT Issues - Lost Chrome and Disconnected from Kroger Network 🤬,Doer,30 min,General Admin,Other,¯\_(ツ)_/¯,Other,Network issue while working ...,
"January 28, 2026",PD Leaders meeting,Collaborator,45 min,General Admin,MX/SC,Medium,All of the Above,topics: mural e2e MX; YE Reviews & Talent Calibration,
"January 29, 2026",OneView Tasks and Assigments,Collaborator,45 min,General Admin,S/I/A,Medium,Finance and Accounting,Supporting other leaders and team members for timesheets. Also still collaborating with Misty on OneView ppt. Shared that with Assortment leads to aid in communications in that portfolio.,
"January 29, 2026",YE Review - RS,Doer,1.5 hr,General Admin,Item,High,Capacity multiplication,YE Review and EE Recommendation,
"January 29, 2026",[Design] Epic review - miranda,Collaborator,15 min,General Admin,Item,High,Strategy documentation and communication,Miranda seeking review and guidance on effort estimation and how she is considering documentation in PB.,
"January 29, 2026",1:1 Rob Sloan,Facilitator,45 min,General Admin,Item,Medium,Capacity multiplication,Topics: PID new work; Monitor issues; additional work,
"January 29, 2026",Effort Estimation w/Liz,Collaborator,30 min,General Admin,S/I/A,Medium,Strategy documentation and communication,"topics - how the process is going, feedback, udpates from areas, connect Liz with Shared Services based on an email I received.",
"January 29, 2026",Desktop support - For Rob,Collaborator,15 min,General Admin,KTD,¯\_(ツ)_/¯,Other,Connect to Dillon Tarr on Rob's monitor,
"January 29, 2026",OneView Tasks and Assigments,Collaborator,45 min,General Admin,S/I/A,Medium,Finance and Accounting,Updating team percentages for allocation,
"January 30, 2026",OneView Tasks and Assigments,Collaborator,30 min,General Admin,S/I/A,Medium,Finance and Accounting,Finalized first draft and sent to finance,
"January 30, 2026","Admin time (Diary, OneView Journal, Email, Teams Messages)",Doer,45 min,General Admin,MX/SC,Medium,All of the Above,"Push for timesheet submission and approval.
APT approvals
Oneview requests
Scan emails ...
Journal and Manager Diary",
"January 30, 2026",IME Update,Collaborator,45 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Focus on the why and the what,"Overview of IME roadmap, next steps and team evolution",
"January 30, 2026",UPC Changes,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,Focus on the why and the what,reivew research readout - good example for a product showcase,
"January 30, 2026",1:1 Misty,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,Medium,All of the Above,"DIscuss a few topics that need addressed.
- Roadmap
- Team challenges
- Effort Estimation
- IME/IWT Task Management",
"January 30, 2026",1:1 Michelle,Collaborator,15 min,General Admin,Assortment,Medium,Capacity multiplication,Announce promotion,
"January 30, 2026",SACP / WFA Questions,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Assortment,Medium,Focus on the why and the what,Understand vfire licenses - need to follow-up with Rick,
"January 30, 2026",OKR Planning - presentation review,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Strategy documentation and communication,Review ppt for Monday,
"January 30, 2026",1:1 Lia,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Supplier,Medium,All of the Above,"RFI and support needs
Effort estimation review
FSMA 204 discussion",
"January 30, 2026",1:1 Brian Cox,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Build bridges not silos,discuss pm role and admin - understand complexities with funding. seeking help with admin vs strategic thinking,
"January 30, 2026",1:1 Colin,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Strategy documentation and communication,"Discuss Family Tree/CFIC, Effort Estimation and capacity",
"January 30, 2026",1:1 Miranda,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,All of the Above,"Discuss SNAP, Effort Estimation, Personal development (AI, PowerBI)",
"January 30, 2026",1:1 David,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,Medium,Focus on the why and the what,Review IME/IWT workflows and UI,
"February 2, 2026","YE Reviews saved (RS, MB, LS)",Doer,3 hr,General Admin,S/I/A,High,Capacity multiplication,Getting from Draft to Saved for Submission,
"February 2, 2026","Admin Support - Jerad ask, Michelle Park, OneView Tasks",Doer,30 min,General Admin,MX/SC,Medium,All of the Above,"multiple tasks for finance, AI Pilot, Promotion, emails",
"February 2, 2026",Compliance Training,Doer,30 min,General Admin,KTD,Medium,Other,Situational Awareness Training 2026,
"February 2, 2026",Desktop / IT Support - CoPilot,Collaborator,15 min,General Admin,KTD,Medium,Other,"Copilot quit working in Teams. I worked with the Pilot teams channel. I then tried a few recommendations from the googles - Clear Cache, Reinstall ... it works now.",
"February 2, 2026",OKRs,Doer,2 hr,ProjEx — OKR / Discovery & Agile Ceremonies,KTD,Medium,All of the Above,Watching OKR presentations - listening for connections and updates,
"February 3, 2026",YE Reviews,Doer,1 hr,General Admin,MX/SC,High,Capacity multiplication,"Lia, Rev Rob's",
"February 3, 2026",Performance Calibrations,Doer,1 hr,General Admin,MX/SC,High,Capacity multiplication,discuss performance calibrations,
"February 3, 2026",Merch HUb & Insights - Q4/Q1 readout,Collaborator,1 hr,ProjEx — OKR / Discovery & Agile Ceremonies,MX/SC,Medium,Focus on the why and the what,review progress and connect on q1 SACP upcoming work,
"February 3, 2026",2026 Initiatives and Time Tracking Best Practices,Collaborator,1.5 hr,General Admin,Item,Medium,Finance and Accounting,revview and discuss task codes and expectations,
"February 3, 2026",1:1 Lia,Facilitator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,Supplier,High,Focus on the why and the what,Lia needed support on RFI Discussions,
"February 3, 2026",Email for Michelle's Promotion,Doer,1 hr,General Admin,Assortment,Medium,Capacity multiplication,create and shareout Michelle's promo notice,
"February 3, 2026","Admin - Email, Journal, Diary",Doer,1 hr,admin,MX/SC,Medium,All of the Above,Daily Check-up and Check-in,
"February 4, 2026",PTO - H&W,,,,,,,,
"February 5, 2026",Item LT Team Meeting,Collaborator,30 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Build bridges not silos,Kickoff with Leadership team + Agile Delivery and Program Mgmt. Good first call.,
"February 5, 2026",1:1 Drew W - mentor,Collaborator,30 min,ProjEx — OKR / Discovery & Agile Ceremonies,KTD,High,Personal Professional Growth,"discuss - OKRs, Prioritization, Advice I am seeking …",
"February 5, 2026",ProductBoard - Item Discussion & Alignment,Collaborator,15 min,ProjEx — OKR / Discovery & Agile Ceremonies,Item,High,Delivery of strategy document,review of Q4 and carryover to Q1 roadmaps,
"February 5, 2026",Admin - Asks and Review - Surfacing,,,General Admin,MX/SC,High,Build bridges not silos,created a worksheet to discuss with MH,
"February 5, 2026",YE Reviews Updates (MP),Doer,30 min,General Admin,MX/SC,Medium,Capacity multiplication,updated notes for MP,
"February 5, 2026",1:1 Misty,Collaborator,45 min,Capital Expenses — The Work/Flows/Prototype,Item,High,Build bridges not silos,planning for Q1; discuss PD expectations; align on new teams in item,
"February 5, 2026",YE Assessments,Doer,30,General Admin,Supplier,High,Capacity multiplication,Lia ye assess,
"February 5, 2026","Admin - Email, Journal, Diary",Doer,1 hr,General Admin,MX/SC,Medium,Personal Professional Growth,"Daily Check-up and Check-in, created new spreadsheets to track work and my tasks",
